,length,min_row,min_col,max_row,max_col
1,21.0,1991,5254,2012,5269
2,20.0,1993,5377,2013,5385
3,37.0,2000,6665,2022,6690
4,33.0,2009,5809,2020,5834
5,23.0,2023,6490,2044,6508
6,28.0,2033,4919,2043,4947
7,31.0,2034,7147,2062,7168
8,16.0,2043,6032,2047,6046
9,15.0,2049,6448,2050,6463
10,32.0,2212,2232,2244,2236
11,48.0,3621,6396,3661,6403
12,21.0,3638,5380,3658,5398
13,43.0,3641,6819,3656,6857
14,25.0,3668,6008,3691,6030
15,17.0,3923,3969,3932,3985
16,35.0,3940,4036,3970,4062
17,87.0,5886,3695,5888,3782
18,21.0,8193,5915,8214,5922
19,25.0,9978,5271,9999,5279
20,17.0,10283,2333,10298,2345
