,length,min_row,min_col,max_row,max_col
1,56.0,1987,5470,2013,5495
2,26.0,2049,5448,2057,5470
3,15.0,2054,4864,2069,4865
4,14.0,2071,4864,2085,4865
5,14.0,2094,4864,2108,4865
6,33.0,2305,3785,2308,3816
7,22.0,2561,2729,2564,2751
8,15.0,3254,5462,3264,5471
9,22.0,3562,3456,3573,3468
10,45.0,3670,6106,3690,6144
11,54.0,3719,7128,3770,7160
12,14.0,4520,3328,4534,3330
13,17.0,4603,6033,4608,6045
14,16.0,5120,5543,5124,5559
15,14.0,5376,2053,5378,2067
16,28.0,5995,2761,5998,2789
17,20.0,6004,2670,6006,2690
18,18.0,6007,4012,6010,4030
19,20.0,6292,7068,6300,7075
20,16.0,6632,3072,6648,3073
21,16.0,6864,4096,6880,4097
22,16.0,6985,4608,7001,4609
23,20.0,7036,4608,7056,4609
24,15.0,7222,5632,7237,5633
25,14.0,7283,3328,7296,3331
26,28.0,7425,5332,7427,5360
27,16.0,8021,5888,8037,5889
28,38.0,8237,2757,8275,2768
29,58.0,8246,2156,8268,2202
30,26.0,8257,4098,8283,4104
31,30.0,8297,2529,8304,2554
32,31.0,8449,2725,8451,2756
33,18.0,8576,4608,8594,4609
34,14.0,8582,3328,8596,3330
35,22.0,8622,3328,8644,3329
36,15.0,8810,6144,8825,6145
37,14.0,9337,6400,9351,6401
38,14.0,9465,7038,9472,7045
39,16.0,9522,3328,9538,3329
40,16.0,9537,3331,9547,3338
41,82.0,9690,6492,9718,6538
42,25.0,9714,6132,9727,6143
43,16.0,9776,4606,9792,4608
44,15.0,9977,3503,9984,3514
45,45.0,10010,4131,10034,4159
46,21.0,10016,4147,10025,4168
47,48.0,10020,3552,10043,3579
48,15.0,10036,2395,10041,2408
49,70.0,10038,3147,10077,3168
50,20.0,10055,3710,10064,3723
51,24.0,10056,4034,10071,4046
52,47.0,10062,3033,10092,3062
53,22.0,10065,4062,10080,4083
54,21.0,10074,2596,10085,2610
